class,coverage,stride,accuracy,n_samples
ApplyEyeMakeup,10,1,0.9322033898305084,413
ApplyLipstick,10,1,0.9912280701754386,342
Archery,10,1,0.8208955223880597,402
BabyCrawling,10,1,0.8422459893048129,374
BalanceBeam,10,1,0.6398104265402843,211
BandMarching,10,1,0.7495652173913043,575
BaseballPitch,10,1,0.6406926406926406,231
Basketball,10,1,0.3127035830618892,307
BasketballDunk,10,1,0.9790209790209792,143
BenchPress,10,1,0.7302631578947368,304
Biking,10,1,0.7486238532110092,545
Billiards,10,1,0.9510939510939512,777
BlowDryHair,10,1,0.8051948051948052,539
BlowingCandles,10,1,0.9385474860335196,179
BodyWeightSquats,10,1,0.0331950207468879,241
Bowling,10,1,0.9647435897435898,312
BoxingPunchingBag,10,1,0.5960144927536232,552
BoxingSpeedBag,10,1,0.6736842105263158,570
BreastStroke,10,1,0.5899053627760252,317
BrushingTeeth,10,1,0.7976391231028668,593
CleanAndJerk,10,1,0.5842391304347826,368
CliffDiving,10,1,0.4035087719298245,171
CricketBowling,10,1,0.9264705882352942,204
CricketShot,10,1,0.7415254237288136,236
CuttingInKitchen,10,1,0.9907120743034056,323
Diving,10,1,0.8436123348017621,454
Drumming,10,1,0.755700325732899,921
Fencing,10,1,0.4956521739130435,230
FieldHockeyPenalty,10,1,0.9356223175965666,233
FloorGymnastics,10,1,0.6,310
FrisbeeCatch,10,1,0.52,175
FrontCrawl,10,1,0.962406015037594,399
GolfSwing,10,1,0.9404145077720208,386
Haircut,10,1,0.8089005235602095,382
HammerThrow,10,1,0.5955056179775281,445
Hammering,10,1,0.9666666666666668,300
HandstandPushups,10,1,0.7892561983471075,242
HandstandWalking,10,1,0.675,320
HeadMassage,10,1,0.8993576017130621,467
HighJump,10,1,0.3209302325581395,215
HorseRace,10,1,0.7130434782608696,575
HorseRiding,10,1,0.8504504504504504,555
HulaHoop,10,1,0.5257731958762887,194
IceDancing,10,1,0.5428176795580111,724
JavelinThrow,10,1,0.3370165745856354,181
JugglingBalls,10,1,0.5484460694698354,547
JumpRope,10,1,0.4317991631799163,1195
JumpingJack,10,1,0.0977443609022556,133
Kayaking,10,1,0.5649606299212598,508
Knitting,10,1,0.9324618736383442,459
LongJump,10,1,0.5243055555555556,288
Lunges,10,1,0.2239089184060721,527
MilitaryParade,10,1,0.9032258064516128,248
Mixing,10,1,0.9580152671755724,262
MoppingFloor,10,1,0.395,400
Nunchucks,10,1,0.5081081081081081,555
ParallelBars,10,1,0.7026022304832714,269
PizzaTossing,10,1,0.2522522522522522,222
PlayingCello,10,1,0.9585185185185184,675
PlayingDaf,10,1,0.8873762376237624,808
PlayingDhol,10,1,0.9660633484162896,884
PlayingFlute,10,1,0.9656992084432716,758
PlayingGuitar,10,1,0.9836683417085428,796
PlayingPiano,10,1,0.9761904761904762,420
PlayingSitar,10,1,0.9933712121212122,1056
PlayingTabla,10,1,0.9872029250457038,547
PlayingViolin,10,1,0.930379746835443,316
PoleVault,10,1,0.4789719626168224,428
PommelHorse,10,1,0.5841836734693877,784
PullUps,10,1,0.4017857142857143,224
Punch,10,1,0.8981042654028436,844
PushUps,10,1,0.7723577235772358,123
Rafting,10,1,0.489247311827957,372
RockClimbingIndoor,10,1,0.8636363636363636,1034
RopeClimbing,10,1,0.396011396011396,351
Rowing,10,1,0.580952380952381,840
SalsaSpin,10,1,0.4953095684803001,533
ShavingBeard,10,1,0.8819875776397516,644
Shotput,10,1,0.7446808510638298,188
SkateBoarding,10,1,0.6277372262773723,274
Skiing,10,1,0.7026515151515151,528
Skijet,10,1,0.8110599078341014,434
SkyDiving,10,1,0.7802197802197802,364
SoccerJuggling,10,1,0.3250620347394541,806
SoccerPenalty,10,1,0.9788359788359788,189
StillRings,10,1,0.776536312849162,358
SumoWrestling,10,1,0.925925925925926,405
Surfing,10,1,0.7668161434977578,446
Swing,10,1,0.52,400
TableTennisShot,10,1,0.5432098765432098,405
TaiChi,10,1,0.7746031746031746,315
TennisSwing,10,1,0.3977272727272727,440
ThrowDiscus,10,1,0.175531914893617,188
TrampolineJumping,10,1,0.4288939051918736,443
Typing,10,1,0.9979591836734694,490
UnevenBars,10,1,0.3146067415730337,267
VolleyballSpiking,10,1,0.3962264150943396,212
WalkingWithDog,10,1,0.582441113490364,467
WallPushups,10,1,0.9572649572649572,234
WritingOnBoard,10,1,0.9952718676122932,423
YoYo,10,1,0.4116161616161616,396
ApplyEyeMakeup,25,1,0.9491525423728814,413
ApplyLipstick,25,1,0.9883040935672516,342
Archery,25,1,0.8681592039800995,402
BabyCrawling,25,1,0.9010695187165776,374
BalanceBeam,25,1,0.6777251184834123,211
BandMarching,25,1,0.831304347826087,575
BaseballPitch,25,1,0.70995670995671,231
Basketball,25,1,0.4885993485342019,307
BasketballDunk,25,1,0.986013986013986,143
BenchPress,25,1,0.8388157894736842,304
Biking,25,1,0.8623853211009175,545
Billiards,25,1,0.9626769626769628,777
BlowDryHair,25,1,0.8701298701298701,539
BlowingCandles,25,1,0.9497206703910616,179
BodyWeightSquats,25,1,0.0746887966804979,241
Bowling,25,1,0.9583333333333334,312
BoxingPunchingBag,25,1,0.7445652173913043,552
BoxingSpeedBag,25,1,0.7912280701754386,570
BreastStroke,25,1,0.6908517350157729,317
BrushingTeeth,25,1,0.8195615514333895,593
CleanAndJerk,25,1,0.7010869565217391,368
CliffDiving,25,1,0.5847953216374269,171
CricketBowling,25,1,0.9264705882352942,204
CricketShot,25,1,0.7838983050847458,236
CuttingInKitchen,25,1,0.9845201238390092,323
Diving,25,1,0.9118942731277532,454
Drumming,25,1,0.8121606948968513,921
Fencing,25,1,0.6826086956521739,230
FieldHockeyPenalty,25,1,0.927038626609442,233
FloorGymnastics,25,1,0.6064516129032258,310
FrisbeeCatch,25,1,0.68,175
FrontCrawl,25,1,0.974937343358396,399
GolfSwing,25,1,0.9352331606217616,386
Haircut,25,1,0.8219895287958116,382
HammerThrow,25,1,0.7146067415730337,445
Hammering,25,1,0.9633333333333334,300
HandstandPushups,25,1,0.8057851239669421,242
HandstandWalking,25,1,0.765625,320
HeadMassage,25,1,0.8886509635974305,467
HighJump,25,1,0.4651162790697674,215
HorseRace,25,1,0.8156521739130435,575
HorseRiding,25,1,0.9063063063063064,555
HulaHoop,25,1,0.7319587628865979,194
IceDancing,25,1,0.580110497237569,724
JavelinThrow,25,1,0.5359116022099447,181
JugglingBalls,25,1,0.7861060329067642,547
JumpRope,25,1,0.6309623430962343,1195
JumpingJack,25,1,0.112781954887218,133
Kayaking,25,1,0.7716535433070866,508
Knitting,25,1,0.943355119825708,459
LongJump,25,1,0.5,288
Lunges,25,1,0.301707779886148,527
MilitaryParade,25,1,0.8790322580645161,248
Mixing,25,1,0.9809160305343512,262
MoppingFloor,25,1,0.5025,400
Nunchucks,25,1,0.6630630630630631,555
ParallelBars,25,1,0.7211895910780669,269
PizzaTossing,25,1,0.4684684684684684,222
PlayingCello,25,1,0.9792592592592592,675
PlayingDaf,25,1,0.926980198019802,808
PlayingDhol,25,1,0.986425339366516,884
PlayingFlute,25,1,0.974934036939314,758
PlayingGuitar,25,1,0.992462311557789,796
PlayingPiano,25,1,0.9785714285714284,420
PlayingSitar,25,1,0.9971590909090908,1056
PlayingTabla,25,1,0.9835466179159048,547
PlayingViolin,25,1,0.9335443037974684,316
PoleVault,25,1,0.633177570093458,428
PommelHorse,25,1,0.6556122448979592,784
PullUps,25,1,0.5669642857142857,224
Punch,25,1,0.9123222748815166,844
PushUps,25,1,0.7967479674796748,123
Rafting,25,1,0.5833333333333334,372
RockClimbingIndoor,25,1,0.9100580270793036,1034
RopeClimbing,25,1,0.5527065527065527,351
Rowing,25,1,0.7607142857142857,840
SalsaSpin,25,1,0.6303939962476548,533
ShavingBeard,25,1,0.8835403726708074,644
Shotput,25,1,0.8297872340425532,188
SkateBoarding,25,1,0.8613138686131386,274
Skiing,25,1,0.8049242424242424,528
Skijet,25,1,0.8110599078341014,434
SkyDiving,25,1,0.8489010989010989,364
SoccerJuggling,25,1,0.4975186104218362,806
SoccerPenalty,25,1,0.9894179894179894,189
StillRings,25,1,0.8156424581005587,358
SumoWrestling,25,1,0.9604938271604938,405
Surfing,25,1,0.8295964125560538,446
Swing,25,1,0.715,400
TableTennisShot,25,1,0.6987654320987654,405
TaiChi,25,1,0.8158730158730159,315
TennisSwing,25,1,0.5227272727272727,440
ThrowDiscus,25,1,0.3085106382978723,188
TrampolineJumping,25,1,0.5801354401805869,443
Typing,25,1,0.9877551020408164,490
UnevenBars,25,1,0.445692883895131,267
VolleyballSpiking,25,1,0.5518867924528302,212
WalkingWithDog,25,1,0.6937901498929336,467
WallPushups,25,1,0.9615384615384616,234
WritingOnBoard,25,1,0.9929078014184396,423
YoYo,25,1,0.6641414141414141,396
ApplyEyeMakeup,50,1,0.9491525423728814,413
ApplyLipstick,50,1,0.9736842105263158,342
Archery,50,1,0.9502487562189056,402
BabyCrawling,50,1,0.9732620320855616,374
BalanceBeam,50,1,0.7962085308056872,211
BandMarching,50,1,0.8539130434782609,575
BaseballPitch,50,1,0.8354978354978355,231
Basketball,50,1,0.8469055374592834,307
BasketballDunk,50,1,0.965034965034965,143
BenchPress,50,1,0.9967105263157896,304
Biking,50,1,0.9706422018348624,545
Billiards,50,1,0.9897039897039897,777
BlowDryHair,50,1,0.901669758812616,539
BlowingCandles,50,1,0.9832402234636872,179
BodyWeightSquats,50,1,0.7427385892116183,241
Bowling,50,1,0.9807692307692308,312
BoxingPunchingBag,50,1,0.9764492753623188,552
BoxingSpeedBag,50,1,0.9912280701754386,570
BreastStroke,50,1,0.9337539432176656,317
BrushingTeeth,50,1,0.8246205733558178,593
CleanAndJerk,50,1,0.9293478260869564,368
CliffDiving,50,1,0.847953216374269,171
CricketBowling,50,1,0.9558823529411764,204
CricketShot,50,1,0.8347457627118644,236
CuttingInKitchen,50,1,0.9876160990712074,323
Diving,50,1,0.9537444933920703,454
Drumming,50,1,0.986970684039088,921
Fencing,50,1,0.9478260869565216,230
FieldHockeyPenalty,50,1,0.9570815450643776,233
FloorGymnastics,50,1,0.7322580645161291,310
FrisbeeCatch,50,1,0.7428571428571429,175
FrontCrawl,50,1,0.9598997493734336,399
GolfSwing,50,1,0.9792746113989638,386
Haircut,50,1,0.8298429319371727,382
HammerThrow,50,1,0.8269662921348314,445
Hammering,50,1,0.97,300
HandstandPushups,50,1,0.9793388429752066,242
HandstandWalking,50,1,0.865625,320
HeadMassage,50,1,0.9678800856531048,467
HighJump,50,1,0.227906976744186,215
HorseRace,50,1,0.8660869565217392,575
HorseRiding,50,1,0.9585585585585584,555
HulaHoop,50,1,0.9484536082474226,194
IceDancing,50,1,0.8784530386740331,724
JavelinThrow,50,1,0.7790055248618785,181
JugglingBalls,50,1,0.9542961608775136,547
JumpRope,50,1,0.8351464435146444,1195
JumpingJack,50,1,0.8796992481203008,133
Kayaking,50,1,0.8779527559055118,508
Knitting,50,1,0.9869281045751634,459
LongJump,50,1,0.1909722222222222,288
Lunges,50,1,0.6869070208728653,527
MilitaryParade,50,1,0.935483870967742,248
Mixing,50,1,0.9732824427480916,262
MoppingFloor,50,1,0.795,400
Nunchucks,50,1,0.6144144144144145,555
ParallelBars,50,1,0.7881040892193308,269
PizzaTossing,50,1,0.9144144144144144,222
PlayingCello,50,1,0.9911111111111112,675
PlayingDaf,50,1,0.9777227722772276,808
PlayingDhol,50,1,0.997737556561086,884
PlayingFlute,50,1,0.9775725593667546,758
PlayingGuitar,50,1,1.0,796
PlayingPiano,50,1,0.9928571428571428,420
PlayingSitar,50,1,0.9990530303030304,1056
PlayingTabla,50,1,0.9963436928702012,547
PlayingViolin,50,1,0.9968354430379748,316
PoleVault,50,1,0.6191588785046729,428
PommelHorse,50,1,0.9553571428571428,784
PullUps,50,1,0.8616071428571429,224
Punch,50,1,0.9478672985781992,844
PushUps,50,1,0.934959349593496,123
Rafting,50,1,0.6854838709677419,372
RockClimbingIndoor,50,1,0.9487427466150872,1034
RopeClimbing,50,1,0.8888888888888888,351
Rowing,50,1,0.9357142857142856,840
SalsaSpin,50,1,0.851782363977486,533
ShavingBeard,50,1,0.9487577639751552,644
Shotput,50,1,0.8563829787234043,188
SkateBoarding,50,1,0.9233576642335768,274
Skiing,50,1,0.8882575757575758,528
Skijet,50,1,0.7327188940092166,434
SkyDiving,50,1,0.9423076923076924,364
SoccerJuggling,50,1,0.792803970223325,806
SoccerPenalty,50,1,1.0,189
StillRings,50,1,0.8743016759776536,358
SumoWrestling,50,1,0.9777777777777776,405
Surfing,50,1,0.8116591928251121,446
Swing,50,1,0.965,400
TableTennisShot,50,1,0.9728395061728397,405
TaiChi,50,1,0.9428571428571428,315
TennisSwing,50,1,0.8977272727272727,440
ThrowDiscus,50,1,0.776595744680851,188
TrampolineJumping,50,1,0.945823927765237,443
Typing,50,1,0.9918367346938776,490
UnevenBars,50,1,0.7303370786516854,267
VolleyballSpiking,50,1,0.8820754716981132,212
WalkingWithDog,50,1,0.9014989293361884,467
WallPushups,50,1,0.9658119658119658,234
WritingOnBoard,50,1,0.9952718676122932,423
YoYo,50,1,0.8863636363636364,396
ApplyEyeMakeup,75,1,0.9443099273607748,413
ApplyLipstick,75,1,0.9736842105263158,342
Archery,75,1,0.9751243781094528,402
BabyCrawling,75,1,0.9893048128342246,374
BalanceBeam,75,1,0.8341232227488151,211
BandMarching,75,1,0.84,575
BaseballPitch,75,1,0.8874458874458875,231
Basketball,75,1,0.9120521172638436,307
BasketballDunk,75,1,0.9790209790209792,143
BenchPress,75,1,1.0,304
Biking,75,1,0.9871559633027523,545
Billiards,75,1,0.990990990990991,777
BlowDryHair,75,1,0.8979591836734694,539
BlowingCandles,75,1,0.994413407821229,179
BodyWeightSquats,75,1,0.9004149377593361,241
Bowling,75,1,0.9871794871794872,312
BoxingPunchingBag,75,1,0.9909420289855072,552
BoxingSpeedBag,75,1,0.9982456140350876,570
BreastStroke,75,1,0.9558359621451104,317
BrushingTeeth,75,1,0.821247892074199,593
CleanAndJerk,75,1,0.967391304347826,368
CliffDiving,75,1,0.9005847953216374,171
CricketBowling,75,1,0.9509803921568628,204
CricketShot,75,1,0.9194915254237288,236
CuttingInKitchen,75,1,0.9876160990712074,323
Diving,75,1,0.960352422907489,454
Drumming,75,1,0.993485342019544,921
Fencing,75,1,0.9782608695652174,230
FieldHockeyPenalty,75,1,0.9828326180257512,233
FloorGymnastics,75,1,0.7967741935483871,310
FrisbeeCatch,75,1,0.8742857142857143,175
FrontCrawl,75,1,0.9724310776942356,399
GolfSwing,75,1,0.9948186528497408,386
Haircut,75,1,0.887434554973822,382
HammerThrow,75,1,0.8853932584269663,445
Hammering,75,1,0.96,300
HandstandPushups,75,1,0.9958677685950412,242
HandstandWalking,75,1,0.903125,320
HeadMassage,75,1,0.9635974304068522,467
HighJump,75,1,0.3627906976744186,215
HorseRace,75,1,0.9147826086956522,575
HorseRiding,75,1,0.981981981981982,555
HulaHoop,75,1,0.979381443298969,194
IceDancing,75,1,0.9323204419889504,724
JavelinThrow,75,1,0.9060773480662984,181
JugglingBalls,75,1,0.9744058500914076,547
JumpRope,75,1,0.8811715481171548,1195
JumpingJack,75,1,0.9548872180451128,133
Kayaking,75,1,0.9409448818897638,508
Knitting,75,1,0.9934640522875816,459
LongJump,75,1,0.2604166666666667,288
Lunges,75,1,0.8538899430740038,527
MilitaryParade,75,1,0.9717741935483872,248
Mixing,75,1,0.9847328244274808,262
MoppingFloor,75,1,0.8725,400
Nunchucks,75,1,0.6432432432432432,555
ParallelBars,75,1,0.8475836431226765,269
PizzaTossing,75,1,0.945945945945946,222
PlayingCello,75,1,0.9955555555555556,675
PlayingDaf,75,1,0.9876237623762376,808
PlayingDhol,75,1,0.998868778280543,884
PlayingFlute,75,1,0.9815303430079156,758
PlayingGuitar,75,1,0.9987437185929648,796
PlayingPiano,75,1,0.9928571428571428,420
PlayingSitar,75,1,1.0,1056
PlayingTabla,75,1,0.9890310786106032,547
PlayingViolin,75,1,0.9968354430379748,316
PoleVault,75,1,0.6752336448598131,428
PommelHorse,75,1,0.9872448979591836,784
PullUps,75,1,0.9464285714285714,224
Punch,75,1,0.9609004739336492,844
PushUps,75,1,0.991869918699187,123
Rafting,75,1,0.6935483870967742,372
RockClimbingIndoor,75,1,0.95357833655706,1034
RopeClimbing,75,1,0.9487179487179488,351
Rowing,75,1,0.9678571428571427,840
SalsaSpin,75,1,0.953095684803002,533
ShavingBeard,75,1,0.9394409937888198,644
Shotput,75,1,0.7712765957446809,188
SkateBoarding,75,1,0.9416058394160584,274
Skiing,75,1,0.9071969696969696,528
Skijet,75,1,0.7534562211981567,434
SkyDiving,75,1,0.967032967032967,364
SoccerJuggling,75,1,0.901985111662531,806
SoccerPenalty,75,1,1.0,189
StillRings,75,1,0.8603351955307262,358
SumoWrestling,75,1,0.9728395061728397,405
Surfing,75,1,0.8228699551569507,446
Swing,75,1,0.9925,400
TableTennisShot,75,1,0.9925925925925926,405
TaiChi,75,1,0.9650793650793652,315
TennisSwing,75,1,0.9613636363636364,440
ThrowDiscus,75,1,0.898936170212766,188
TrampolineJumping,75,1,0.979683972911964,443
Typing,75,1,0.9959183673469388,490
UnevenBars,75,1,0.8089887640449438,267
VolleyballSpiking,75,1,0.9481132075471698,212
WalkingWithDog,75,1,0.9528907922912204,467
WallPushups,75,1,0.9786324786324786,234
WritingOnBoard,75,1,1.0,423
YoYo,75,1,0.9722222222222222,396
ApplyEyeMakeup,100,1,0.9515738498789348,413
ApplyLipstick,100,1,0.9883040935672516,342
Archery,100,1,0.9800995024875622,402
BabyCrawling,100,1,0.9893048128342246,374
BalanceBeam,100,1,0.8767772511848341,211
BandMarching,100,1,0.8452173913043478,575
BaseballPitch,100,1,0.9393939393939394,231
Basketball,100,1,0.9381107491856676,307
BasketballDunk,100,1,0.965034965034965,143
BenchPress,100,1,1.0,304
Biking,100,1,0.9853211009174312,545
Billiards,100,1,0.9922779922779924,777
BlowDryHair,100,1,0.9165120593692022,539
BlowingCandles,100,1,0.988826815642458,179
BodyWeightSquats,100,1,0.950207468879668,241
Bowling,100,1,0.9871794871794872,312
BoxingPunchingBag,100,1,0.9963768115942028,552
BoxingSpeedBag,100,1,1.0,570
BreastStroke,100,1,0.9716088328075708,317
BrushingTeeth,100,1,0.8566610455311973,593
CleanAndJerk,100,1,0.9728260869565216,368
CliffDiving,100,1,0.953216374269006,171
CricketBowling,100,1,0.9754901960784312,204
CricketShot,100,1,0.9279661016949152,236
CuttingInKitchen,100,1,0.9845201238390092,323
Diving,100,1,0.9581497797356828,454
Drumming,100,1,0.996742671009772,921
Fencing,100,1,0.9956521739130436,230
FieldHockeyPenalty,100,1,0.9742489270386266,233
FloorGymnastics,100,1,0.8451612903225807,310
FrisbeeCatch,100,1,0.9485714285714286,175
FrontCrawl,100,1,0.9824561403508772,399
GolfSwing,100,1,0.9922279792746114,386
Haircut,100,1,0.8691099476439791,382
HammerThrow,100,1,0.9191011235955056,445
Hammering,100,1,0.9733333333333334,300
HandstandPushups,100,1,0.9958677685950412,242
HandstandWalking,100,1,0.896875,320
HeadMassage,100,1,0.9764453961456104,467
HighJump,100,1,0.5441860465116279,215
HorseRace,100,1,0.951304347826087,575
HorseRiding,100,1,0.9855855855855856,555
HulaHoop,100,1,0.9896907216494846,194
IceDancing,100,1,0.951657458563536,724
JavelinThrow,100,1,0.9005524861878453,181
JugglingBalls,100,1,0.9835466179159048,547
JumpRope,100,1,0.897071129707113,1195
JumpingJack,100,1,0.9924812030075189,133
Kayaking,100,1,0.966535433070866,508
Knitting,100,1,0.9956427015250544,459
LongJump,100,1,0.3680555555555556,288
Lunges,100,1,0.9089184060721064,527
MilitaryParade,100,1,0.9879032258064516,248
Mixing,100,1,0.9885496183206108,262
MoppingFloor,100,1,0.91,400
Nunchucks,100,1,0.7045045045045045,555
ParallelBars,100,1,0.8401486988847584,269
PizzaTossing,100,1,0.9369369369369368,222
PlayingCello,100,1,0.9985185185185184,675
PlayingDaf,100,1,0.988861386138614,808
PlayingDhol,100,1,0.998868778280543,884
PlayingFlute,100,1,0.982849604221636,758
PlayingGuitar,100,1,1.0,796
PlayingPiano,100,1,0.9976190476190476,420
PlayingSitar,100,1,1.0,1056
PlayingTabla,100,1,0.9945155393053016,547
PlayingViolin,100,1,0.9936708860759492,316
PoleVault,100,1,0.7172897196261683,428
PommelHorse,100,1,0.9910714285714286,784
PullUps,100,1,0.96875,224
Punch,100,1,0.9786729857819904,844
PushUps,100,1,1.0,123
Rafting,100,1,0.6935483870967742,372
RockClimbingIndoor,100,1,0.95357833655706,1034
RopeClimbing,100,1,0.9743589743589745,351
Rowing,100,1,0.9761904761904762,840
SalsaSpin,100,1,0.9812382739212008,533
